OBJECTID,FEATURETYPE,NAME,CLASS,OPERATOR,OWNER,SITEADDRESS,SITESUBURB,POSTCODE,STATE,STATUS,GENERATIONTYPE,PRIMARYFUELTYPE,PRIMARYSUBFUELTYPE,GENERATIONMW,GENERATORNUMBER,FEATURERELIABILITY,FEATURESOURCE,ATTRIBUTERELIABILITY,ATTRIBUTESOURCE,PLANIMETRICACCURACY,SPATIALACCURACY,METADATACOMMENT,METADATALINK1,RESTRICTIONS,REVISED,ENO,TEXTNOTE
156,Power Station,Braemar 1 Power Station,Non-Renewable,Braemar Power Project Pty Ltd,Alinta Energy,,Kogan,4406,QUEENSLAND,Operational,Open Cycle Gas Turbine,Natural Gas,Coal Seam Gas,504,3,1/1/06,Kogan_9043_60cm_2006,31/7/12,AEMO Generator List,3,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\braemar1_pwr_stn.jpg,,13/9/12,259525,
157,Power Station,Braemar 2 Power Station,Non-Renewable,Newgen Braemar 2 Partnership,Arrow Energy,,Kogan,4406,QUEENSLAND,Operational,Open Cycle Gas Turbine,Natural Gas,Coal Seam Gas,519,3,1/1/06,Kogan_9043_60cm_2006,31/7/12,AEMO Generator List,3,3, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\braemar2_pwr_stn.jpg,,15/1/13,259896,
158,Power Station,Condamine A Power Station,Non-Renewable,QGC,Queensland Gas Company,,Columboola,4415,QUEENSLAND,Operational,Combined Cycle Gas Turbine,Natural Gas,Coal Seam Gas,144,3,1/1/01,Miles_8944_1m_2001,31/7/12,AEMO Generator List,3,1,"Generating Units 2x43, 1x57",NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\condamine_a_pwr_stn.jpg,,13/9/12,434697,
159,Power Station,Daandine Power Station,Non-Renewable,,Energy Infrastructure Investments Pty Ltd,,Kogan,4406,QUEENSLAND,Operational,Compression Reciprocating Engine,Natural Gas,Coal Seam Gas,30,11,1/1/06,Kogan_9043_60cm_2006,31/7/12,AEMO Generator List,3,4, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\daandine_pwr_stn.jpg,,13/9/12,353596,
160,Power Station,Darling Downs Power Station,Non-Renewable,,Origin Energy,,Kogan,4406,QUEENSLAND,Operational,Combined Cycle Gas Turbine,Natural Gas,Coal Seam Gas,644,4,1/1/06,Kogan_9043_60cm_2006,31/7/12,AEMO Generator List,3,3,"Generating Units 1x280, 3x121",NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\darlingdowns_pwr_stn.jpg,,13/9/12,260021,
161,Power Station,German Creek Power Station,Non-Renewable,,Energy Developments CSM (Qld) Pty Ltd,,Middlemount,4746,QUEENSLAND,Operational,Spark Ignition Reciprocating Engine,Natural Gas,Waste Coal Mine Gas,31.8,16,1/1/02,WindeyersHill_8652_1m_2002,31/7/12,AEMO Generator List,3,2, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\germancreek_pwr_stn.jpg,,13/9/12,259554,
162,Power Station,Gladstone Power Station,Non-Renewable,NRG Energy,GPS Joint Venture,,Callemondah,4680,QUEENSLAND,Operational,Steam Subcritical,Coal,Black Coal,1680,6,1/1/07,Gladstone_9150_60cm_2007,31/7/12,AEMO Generator List,3,5,10MW from Renewable fuels - wood waste,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\gladstone_pwr_stn.jpg,,13/9/12,259161,
163,Power Station,Isis Central Sugar Mill Power Station,Renewable,,AGL Energy Pty Ltd,,Isis Central,4660,QUEENSLAND,Operational,Cogeneration - Steam Subcritical,Biomass,Bagasse,25,4,1/1/07,Childers_9347_60cm_2007,31/7/12,AEMO Generator List,3,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\isis_cogen.jpg,,13/9/12,259155,
164,Power Station,Kalamia Sugar Mill Power Station,Renewable,,Sucrogen (Kalamia) Pty ltd,,Brandon,4808,QUEENSLAND,Operational,Steam Subcritical,Biomass,Bagasse,9,1,1/1/06,Ayr_8358_60cm_2006,31/7/12,AEMO Generator List,3,3, ,,,13/9/12,259123,
165,Power Station,Kareeya Power Station,Renewable,,Stanwell Corporation Ltd,,Cardstone,4854,QUEENSLAND,Operational,Hydroelectric (Run of River),Water,,88,4,1/1/04,Tully_8026_60cm_2004,31/7/12,AEMO Generator List,3,5,"Generating Units 3x21, 1x18",NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\kareeya_hydro.jpg,,13/9/12,259347,
166,Power Station,Kogan Creek Power Station,Non-Renewable,,CS Energy,,Brigalow,4412,QUEENSLAND,Operational,Steam Supercritical,Coal,Black Coal,744,1,1/1/02,Chinchilla_9044_1m_2002,31/7/12,AEMO Generator List,3,2, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\kogancreek_pwr_stn.jpg,,15/1/13,259526,
167,Power Station,Millmerran Power Station,Non-Renewable,Millmerran Energy Trader,Intergen,,Grays Gate,4357,QUEENSLAND,Operational,Steam Supercritical,Coal,Black Coal,856,2,1/1/05,Millmerran_9142_60cm_2005,31/7/12,AEMO Generator List,3,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\millmerran_pwr_stn.jpg,,13/9/12,259317,
168,Power Station,Moranbah Power Station,Non-Renewable,,Energy Developments Ltd,,Moranbah,4744,QUEENSLAND,Operational,Spark Ignition Reciprocating Engine,Natural Gas,Waste Coal Mine Gas,12,,1/1/07,Harrybrandt_8554_60cm_2007,31/7/12,AEMO Generator List,3,3,Imagery too old to pinpoint exact location of facility,N:\e3p\NEXIS\Projects\Infrastructure\Energy\Electricity\Power Stations\Resources\EDL_MoranbahNorth.pdf,,14/9/12,,
169,Power Station,Mount Stuart Power Station,Non-Renewable,,Origin Energy,,Stuart,4811,QUEENSLAND,Operational,Open Cycle Gas Turbine,Distillate,Kerosene,424,2,1/1/04,Townsville_8259_60cm_2004,31/7/12,AEMO Generator List,3,5,"Generating Units 2x146, 1x131",NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\mountstuart_pwr_stn.jpg,,13/9/12,259302,
170,Power Station,Oakey Power Station,Non-Renewable,AGL Hydro Partnership,Oakey Power Pty Ltd,,Oakey,4401,QUEENSLAND,Operational,Open Cycle Gas Turbine,Natural Gas,,282,2,1/1/06,Oakey_9243_60cm_2006,31/7/12,AEMO Generator List,3,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\oakey_pwr_stn.jpg,,13/9/12,259315,
171,Power Station,Oaky Creek Power Station,Non-Renewable,,EnvironGen (Oaky) Pty Ltd,,Bundoora,4702,QUEENSLAND,Operational,Spark Ignition Reciprocating Engine,Natural Gas,Waste Coal Mine Gas,20,16,1/1/02,WindeyersHill_8652_1m_2002,1/1/12,AEMO_ESOO2011chapter4.pdf,3,4,"Generating Units 14x1, 2x3",NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\oakeycreek_pwr_stn.jpg,,11/9/12,,
172,Power Station,Stanwell Power Station,Non-Renewable,,Stanwell Corporation Ltd,,Stanwell,4702,QUEENSLAND,Operational,Steam Subcritical,Coal,Black Coal,1460,4,1/1/04,Mount_Morgon_8950_60cm_2004,31/7/12,AEMO Generator List,3,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\stanwell_pwr_stn.jpg,,13/9/12,259258,
173,Power Station,Tarong GT Power Station,Non-Renewable,Tarong Energy,Tarong Energy Corporation,Nanango,Tarong,4615,QUEENSLAND,Operational,Open Cycle Gas Turbine,Fuel Oil,,15,1,1/1/06,Kingaroy_9244_60cm_2006,31/7/12,AEMO Generator List,3,3, ,,,13/9/12,,
174,Power Station,Tarong North Power Station,Non-Renewable,Tarong Energy,Tarong Energy Corporation,,Tarong,4615,QUEENSLAND,Operational,Steam Supercritical,Coal,Black Coal,450,1,1/1/06,Kingaroy_9244_60cm_2006,31/7/12,AEMO Generator List,3,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\tarong_nth_pwr_stn_p1.jpg,,13/9/12,259327,
175,Power Station,Tarong Power Station,Non-Renewable,Tarong Energy,Stanwell Corporation Ltd,Nanango,Tarong,4615,QUEENSLAND,Operational,Steam Subcritical,Coal,Black Coal,1400,4,1/1/06,Kingaroy_9244_60cm_2006,31/7/12,AEMO Generator List,3,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\tarong_pwr_stn.jpg,,13/9/12,259262,
176,Power Station,Yabulu Power Station,Non-Renewable,,RATCH Australia,,Yabulu,4818,QUEENSLAND,Operational,Combined Cycle Gas Turbine,Natural Gas,Coal Seam Gas,244,2,1/1/04,Townsville_8259_60cm_2004,31/7/12,AEMO Generator List,3,5,"Generating Units 1x160, 1x82; formerly Townsville GT",NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\yabulu_pwr_stn.jpg,,13/9/12,259286,
177,Power Station,Yarwun Power Station,Non-Renewable,,Rio Tinto Australia - Yarwun Pty Ltd,,Yarwun,4694,QUEENSLAND,Operational,Open Cycle Gas Turbine,Natural Gas,,154,,1/1/07,Gladstone_9150_60cm_2007,31/7/12,AEMO Generator List,3,4, ,,,13/9/12,453611,
178,Power Station,Macknade Sugar Mill Power Station,Renewable,,Sucrogen (Herbert) Pty ltd,,Macknade,4850,QUEENSLAND,Operational,Steam Subcritical,Biomass,Bagasse,8,2,1/1/06,Ingham_8160_40cm_2006,31/7/12,AEMO Generator List,5,4, ,,,13/9/12,259117,
179,Power Station,Victoria Sugar Mill Power Station,Renewable,Sucrogen,Sucrogen Pty ltd,,Victoria Plantation,4850,QUEENSLAND,Operational,Steam Subcritical,Biomass,Bagasse,24,3,1/1/06,Ingham_8160_40cm_2006,31/7/12,AEMO Generator List,5,4,Emmission stack count will include milling stacks,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\victoria_sugar_mill.jpg,,13/9/12,259119,
180,Power Station,Callide C Power Station,Non-Renewable,Callide Power Trading,CS Energy,,Mount Murchison,4715,QUEENSLAND,Operational,Steam Supercritical,Coal,Black Coal,900,2,30/5/06,383399_300506,1/3/12,AEMO_ESOO2011chapter4.pdf,9,5,Dry cooling towers,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\callide_c_pwr_stn.jpg,,11/9/12,259137,
181,Power Station,Callide B Power Station,Non-Renewable,,CS Energy,,Mount Murchison,4715,QUEENSLAND,Operational,Steam Subcritical,Coal,Black Coal,700,2,30/5/06,383399_300506,31/7/12,AEMO Generator List,9,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\callide_b_pwr_stn.jpg,,13/9/12,259135,
182,Power Station,Callide A Power Station,Non-Renewable,,CS Energy,,Mount Murchison,4715,QUEENSLAND,Operational,Steam Subcritical,Coal,Black Coal,120,4,30/5/06,383399_300506,1/3/12,Callide OxyFuel Project Website,9,5,Being retrofitted with Oxyfuel project carbon capture technology,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\callide_a_pwr_stn.jpg,,11/9/12,,
183,Power Station,Collinsville Power Station,Non-Renewable,Transfield Services Infrastructure Fu,RATCH Australia,,Collinsville,4804,QUEENSLAND,Operational,Steam Subcritical,Coal,Black Coal,190,5,3/4/10,AUO_S21E147-D,31/7/12,AEMO Generator List,,5,"Generating Units 3x32, 1x33, 1x66. dry cooling towers?",NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\collinsville_pwr_stn.jpg,,13/9/12,259148,
184,Power Station,Broome Power Station,Non-Renewable,,Energy Developments Ltd,,Minyirr,6725,WESTERN AUSTRALIA,Operational,,Natural Gas,,39.6,17,1/6/11,Broome_Townsite_June_2011_Mosaic,1/1/11,Energy Developments Website,2,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\broome_pwr_stn.jpg,,20/9/12,259333,
185,Power Station,Burrup Peninsula (Karratha Gas Plant) Power Station,Non-Renewable,,Woodside Pty Ltd,,Burrup,6714,WESTERN AUSTRALIA,Operational,,Natural Gas,,240,,1/7/10,Burrup_Peninsula_Jul_2010_Mosaic,1/1/09,GA 2009 Power Stations Database (Ron Sait),2,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\karratha_pwr_stn.jpg,,11/9/12,259941,
186,Power Station,Burrup Peninsula (Pluto Phase 1) Power Station,Non-Renewable,,Woodside Pty Ltd,,Burrup,6714,WESTERN AUSTRALIA,Operational,,Natural Gas,,160,,1/7/10,Burrup_Peninsula_Jul_2010_Mosaic,1/1/09,GA 2009 Power Stations Database (Ron Sait),2,5, ,,,11/9/12,,
188,Power Station,Cockburn Power Station,Non-Renewable,,Verve Energy,,Naval Base,6165,WESTERN AUSTRALIA,Operational,Combined Cycle Gas Turbine,Natural Gas,,240,2,1/1/08,Metro_Central_2009_Mosaic,1/1/09,GA 2009 Power Stations Database (Ron Sait),2,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\cockburn_pwr_stn.jpg,,17/9/12,259548,
189,Power Station,Collie (Bluewaters) Power Station,Non-Renewable,,Griffin Energy,,Palmer,6225,WESTERN AUSTRALIA,Operational,Steam Subcritical,Coal,Black Coal,416,2,1/1/01,COLLIE_TOWNSITE_MOSAIC.ECW,1/1/09,GA 2009 Power Stations Database (Ron Sait),2,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\bluewaters_pwr_stn.jpg,,17/9/12,259902,
190,Power Station,Dampier Power Station,Non-Renewable,,Rio Tinto Australia Pty Ltd,,Dampier,6713,WESTERN AUSTRALIA,Operational,Steam Turbine,Natural Gas,,120,4,1/7/10,Burrup_Peninsula_Jul_2010_Mosaic,1/1/09,Rio Tinto Webstie,2,4, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\dampier_pwr_stn.jpg,,11/9/12,259152,
