OBJECTID,FEATURETYPE,NAME,CLASS,OPERATOR,OWNER,SITEADDRESS,SITESUBURB,POSTCODE,STATE,STATUS,GENERATIONTYPE,PRIMARYFUELTYPE,PRIMARYSUBFUELTYPE,GENERATIONMW,GENERATORNUMBER,FEATURERELIABILITY,FEATURESOURCE,ATTRIBUTERELIABILITY,ATTRIBUTESOURCE,PLANIMETRICACCURACY,SPATIALACCURACY,METADATACOMMENT,METADATALINK1,RESTRICTIONS,REVISED,ENO,TEXTNOTE
265,Power Station,Weddell Power Station,Non-Renewable,,NT Power and Water,,Wickham,822,NORTHERN TERRITORY,Operational,Open Cycle Gas Turbine,Natural Gas,,86,2,30/1/08,AUD_S13E130-D,1/9/11,NT Power and Water Corp,,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\weddell_pwr_stn.jpg,,20/9/12,259772,
266,Power Station,Channel Island Power Station,Non-Renewable,,NT Power and Water,,Channel Island,,NORTHERN TERRITORY,Operational,,Natural Gas,,232,9,30/1/08,AUD_S13E130-D,1/9/11,NT Power and Water Corp,,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\channelisland_pwr_stn.jpg,,20/9/12,259143,
267,Power Station,Warrego Power Station,Non-Renewable,,,,Warumungu,852,NORTHERN TERRITORY,Operational,,Natural Gas,,19,,1/1/09,ALPSM2P5_ZONE53_2010,1/10/11,NT Power and Water Corp,9,3, ,,,11/9/12,,
268,Power Station,Condong Sugar Mill Power Station,Renewable,Ferrier Hodgeson Receivers,Delta Electricity,,Condong,2484,NEW SOUTH WALES,Operational,Steam Subcritical,Biomass,Bagasse,30,1,1/1/07,Murwillumbah_9541_60cm_2007,31/7/12,AEMO Generator List,3,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\condong_pwr_stn.jpg,,11/9/12,,
269,Power Station,Appin (Mine) Power Station,Non-Renewable,,Energy Developments CSM (NSW) Pty Ltd,,Appin,2560,NEW SOUTH WALES,Operational,Spark Ignition Reciprocating Engine,Natural Gas,Waste Coal Mine Gas,59.7,54,1/1/98,wollongong.ecw,31/7/12,AEMO Generator List,5,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\appin_pwr_stn.jpg,,11/9/12,259116,
270,Power Station,Bayswater Power Station,Non-Renewable,,Macquarie Generation,,Muswellbrook,2333,NEW SOUTH WALES,Operational,Steam Subcritical,Coal,Black Coal,2640,4,1/1/02,camberwell.ecw,31/7/12,AEMO Generator List,5,5,12MW from Renewable fuels including wood waste and municipal solid waste,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\bayswater_pwr_stn.jpg,,11/9/12,259122,
271,Power Station,Bendeela (Shoalhaven Scheme) Power Station,Renewable,,Origin Energy,,Kangaroo Valley,2577,NEW SOUTH WALES,Operational,Hydroelectric (Pumped Storage),Water,,80,4,1/1/01,kiama.ecw,31/7/12,AEMO Generator List,5,5,"Generating Units 2x40, 2x80",NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\bendeela_pump_stn.gif,,11/9/12,259289,
272,Power Station,Blowering Power Station,Renewable,,Snowy Hydro Ltd,,Wereboldera,2720,NEW SOUTH WALES,Operational,Hydroelectric (Gravity),Water,,70,1,1/1/04,tumut.ecw,31/7/12,AEMO Generator List,5,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\blowering_pwr_stn.jpg,,11/9/12,259383,
273,Power Station,Broadwater Power Station,Renewable,Ferrier Hodgeson Receivers,NSW Sugar Milling,,Broadwater,2472,NEW SOUTH WALES,Operational,Cogeneration - Steam Subcritical,Biomass,Bagasse,30,1,1/1/00,woodburn.ecw,31/7/12,AEMO Generator List,5,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\broadwater_cogen.jpg,,11/9/12,,
274,Power Station,Brown Mountain Power Station,Renewable,,Eraring Energy,,Bemboka,2550,NEW SOUTH WALES,Operational,Hydroelectric (Gravity),Water,,5.4,5,1/1/99,bombala.ecw,31/7/12,AEMO Generator List,5,5, ,,,11/9/12,259297,
275,Power Station,Capral (Aluminium Smelter) Power Station,Non-Renewable,,Capral Ltd,,Loxford,2326,NEW SOUTH WALES,Operational,,Natural Gas,,300,3,1/1/06,kurri.ecw,1/1/09,GA 2009 Power Stations Database (Ron Sait),5,3, ,,,11/9/12,,
276,Power Station,Colongra Power Station,Non-Renewable,,Delta Electricity,,Colongra,2262,NEW SOUTH WALES,Operational,Open Cycle Gas Turbine,Natural Gas,,724,4,1/1/98,lake_macq.ecw,31/7/12,AEMO Generator List,5,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\colongra_gas_pwr_stn.gif,,11/9/12,259528,
277,Power Station,EarthPower Biomass Plant Power Station,Renewable,,Earthpower Technologies Sydney Pty Ltd,,Camellia,2142,NEW SOUTH WALES,Operational,Spark Ignition Reciprocating Engine,Biogas,Food Waste,3.9,,1/1/98,sydney.ecw,31/7/12,AEMO Generator List,5,5,Biomass (Municipal & Industrial Materials),,,11/9/12,,
278,Power Station,Eraring GT Power Station,Non-Renewable,,Eraring Energy,,Eraring,2264,NEW SOUTH WALES,Operational,Open Cycle Gas Turbine,Distillate,,42,1,1/1/98,lake_macq.ecw,31/7/12,AEMO Generator List,5,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\eraring_gt_pwr_stn.jpg,,11/9/12,,
279,Power Station,Gadara Power Station,Renewable,Visy Pulp & Paper,Visy Pulp & Paper,,Gadara,2720,NEW SOUTH WALES,Operational,,Biomass,Black Liquor,20,1,1/1/04,tumut.ecw,1/1/09,GA 2009 Power Stations Database (Ron Sait),5,3, ,,,11/9/12,259065,
280,Power Station,Glenbawn Power Station,Renewable,,AGL Energy Pty Ltd,,Glenbawn,2337,NEW SOUTH WALES,Operational,Hydroelectric (Gravity),Water,,5,1,1/1/02,camberwell.ecw,31/7/12,AEMO Generator List,5,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\glenbawn_hydro.jpg,,11/9/12,259318,
281,Power Station,Glennies Creek Power Station,Non-Renewable,,EnviroGen Pty Ltd,,Middle Falbrook,2330,NEW SOUTH WALES,Operational,,Natural Gas,Waste Coal Mine Gas,10,10,1/1/02,camberwell.ecw,1/1/09,GA 2009 Power Stations Database (Ron Sait),5,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\glenniescreek_pwr_stn.jpg,,11/9/12,,
282,Power Station,Hunter Economic (HEZ) Zone Power Station,Non-Renewable,,Infratil Energy Australia Pty Ltd,,Abermain,2326,NEW SOUTH WALES,Operational,Compression Reciprocating Engine,Distillate,,29,16,1/1/06,kurri.ecw,31/7/12,AEMO Generator List,5,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\hez_pwr_stn.jpg,,11/9/12,,
283,Power Station,Hunter Valley GT Power Station,Non-Renewable,,Macquarie Generation,,Muswellbrook,2333,NEW SOUTH WALES,Operational,Open Cycle Gas Turbine,Natural Gas,,50,2,1/1/02,camberwell.ecw,31/7/12,AEMO Generator List,5,4, ,,,11/9/12,259167,
284,Power Station,Kangaroo Valley (Shoalhaven Scheme) Power Station,Renewable,,Eraring Energy,,Kangaroo Valley,2577,NEW SOUTH WALES,Operational,Hydroelectric (Pumped Storage),Water,,160,2,1/1/01,kiama.ecw,31/7/12,AEMO Generator List,5,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\kangaroovalley_hydro.jpg,,11/9/12,259287,
285,Power Station,Liddell Power Station,Non-Renewable,,Macquarie Generation,,Muswellbrook,2333,NEW SOUTH WALES,Operational,Steam Subcritical,Coal,Black Coal,2000,4,1/1/02,camberwell.ecw,31/7/12,AEMO Generator List,5,5,"12MW from Renewable fuels include wood waste, food and agricultural waste, municipal solid waste, agricultural waste",NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\liddell_pwr_stn.jpg,,11/9/12,259193,
286,Power Station,Mt Piper Power Station,Non-Renewable,,Delta,,Blackmans Flat,2790,NEW SOUTH WALES,Operational,Steam Subcritical,Coal,Black Coal,1400,2,1/1/99,wallerawang.ecw,31/7/12,AEMO Generator List,5,5,1.2MW from Renewable fuels including wood waste and municipal solid waste,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\mountpiper_pwr_stn.jpg,,11/9/12,259108,
287,Power Station,Munmorah Power Station,Non-Renewable,,Delta Electricity,,Colongra,2262,NEW SOUTH WALES,Operational,Steam Subcritical,Coal,Black Coal,600,2,1/1/98,lake_macq.ecw,29/2/12,AEMO_ESOO2011chapter4.pdf,5,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\munmorah_pwr_stn.jpg,,11/9/12,259220,
288,Power Station,Nymboida Power Station,Renewable,,Essential Energy,,Nymboida,2460,NEW SOUTH WALES,Operational,Hydroelectric (Gravity),Water,,33.6,7,1/1/00,grafton.ecw,31/7/12,AEMO Generator List,5,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\nymboida_hydro.jpg,,11/9/12,259308,
289,Power Station,Oaky Power Station,Renewable,,Essential Energy,,Wollomombi,2350,NEW SOUTH WALES,Operational,Hydroelectric (Gravity),Water,,4.8,5,1/1/01,carrai56prov.ecw,31/7/12,AEMO Generator List,5,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\oaky_pwr_stn.jpg,,11/9/12,259312,
290,Power Station,Redbank Power Station,Non-Renewable,,Redbank Energy Ltd,,Warkworth,2330,NEW SOUTH WALES,Operational,Steam Subcritical,Coal,Coal Tailings - BDT Fuel,143.8,1,1/1/98,cessnock.ecw,31/7/12,AEMO Generator List,5,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\redbank_pwr_stn.jpg,,11/9/12,259323,
291,Power Station,Smithfield Energy Facility,Non-Renewable,,Marubeni Australia Power Services,,Smithfield,2164,NEW SOUTH WALES,Operational,Combined Cycle Gas Turbine,Natural Gas,,170.9,3,1/1/98,penrith.ecw,31/7/12,AEMO Generator List,5,5,"Generating Units 3x38, 1x62",,,11/9/12,259254,
292,Power Station,Tahmoor Power Station,Non-Renewable,,EnviroGen Pty Ltd,,Bargo,2574,NEW SOUTH WALES,Operational,,Natural Gas,Waste Coal Mine Gas,7,7,1/1/98,wollongong.ecw,31/7/12,AEMO Generator List,5,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\tahmoor_pwr_stn.jpg,,11/9/12,,
293,Power Station,Tallawarra Power Station,Non-Renewable,,TRUenergy,,Yallah,2530,NEW SOUTH WALES,Operational,Combined Cycle Gas Turbine,Natural Gas,,420,1,1/1/01,kiama.ecw,31/7/12,AEMO Generator List,5,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\tallawarra_pwr_stn.jpg,,11/9/12,259532,
294,Power Station,Teralba Power Station,Non-Renewable,,EnviroGen Pty Ltd,,Teralba,2284,NEW SOUTH WALES,Operational,Spark Ignition Reciprocating Engine,Natural Gas,Waste Coal Mine Gas,4,4,1/1/98,newcastle.ecw,1/1/12,AEMO_ESOO2011chapter4.pdf,5,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\teralba_pwr_stn.jpg,,11/9/12,,
295,Power Station,Tomago Aluminium Smelter Power Station,Non-Renewable,,Tomago Aluminium,,Tomago,2322,NEW SOUTH WALES,Operational,,Natural Gas,,810,3,1/1/98,newcastle.ecw,1/1/09,GA 2009 Power Stations Database (Ron Sait),5,1, ,,,11/9/12,,
296,Power Station,Tower Mine Power Station,Non-Renewable,,Energy Developments Ltd,,Douglas Park,2569,NEW SOUTH WALES,Operational,,Natural Gas,,41.2,40,1/1/98,wollongong.ecw,31/7/12,AEMO Generator List,5,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\towermine_pwr_stn.jpg,,11/9/12,259268,
297,Power Station,Tumut 1 Power Station (Upper Tumut),Renewable,,Snowy Hydro Ltd,,Cabramurra,2629,NEW SOUTH WALES,Operational,Hydroelectric (Gravity),Water,,384,4,1/1/04,yarrangobilly.ecw,31/7/12,AEMO Generator List,5,2, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\tumut1_hydro.jpg,,11/9/12,259381,
298,Power Station,Tumut 2 Power Station (Upper Tumut),Renewable,,Snowy Hydro Ltd,,Cabramurra,2629,NEW SOUTH WALES,Operational,Hydroelectric (Gravity),Water,,336,4,1/1/04,yarrangobilly.ecw,31/7/12,AEMO Generator List,5,3, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\tumut2_hydro.jpg,,11/9/12,259382,
299,Power Station,Uranquinty Power Station,Non-Renewable,Origin Energy (Uranquinty Power),Origin Energy,,Uranquinty,2652,NEW SOUTH WALES,Operational,Open Cycle Gas Turbine,Natural Gas,,664,4,1/1/04,wagga.ecw,31/7/12,AEMO Generator List,5,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\uranquinty_pwr_stn.jpg,,11/9/12,259756,
300,Power Station,Vales Point B Power Station,Non-Renewable,,Delta Electricity,,Mannering Park,2259,NEW SOUTH WALES,Operational,Steam Subcritical,Coal,Black Coal,1320,2,1/1/98,lake_macq.ecw,31/7/12,AEMO Generator List,5,5,7.2MW from Renewable fuels including wood waste and municipal solid waste,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\valespoint_pwr_stn.jpg,,11/9/12,259541,
301,Power Station,Wallerawang C Power Station,Non-Renewable,,TRUenergy,,Wallerawang,2845,NEW SOUTH WALES,Operational,Steam Subcritical,Coal,Black Coal,1000,2,1/1/99,wallerawang.ecw,31/7/12,AEMO Generator List,5,5,5.5MW for Renewable fuels including wood waste and municipal solid waste,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\wallerawang_pwr_stn.jpg,,11/9/12,259276,
302,Power Station,Warragamba Power Station,Renewable,Eraring Energy,Eraring Energy,,Warragamba,2752,NEW SOUTH WALES,Operational,Hydroelectric (Gravity),Water,,50,1,1/1/98,penrith.ecw,31/7/12,AEMO Generator List,5,4, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\waragamba_hydro.gif,,11/9/12,259290,
303,Power Station,West Illawarra Leagues Club Power Plant,Non-Renewable,Energy Response,West Illawarra Leagues Club,,Unanderra,2526,NEW SOUTH WALES,Operational,Compression Reciprocating Engine,Distillate,,1,,1/1/98,wollongong.ecw,31/7/12,AEMO Generator List,5,5, ,,,11/9/12,,
304,Power Station,Western Suburbs Leagues Club (Campbelltown) Power Plant,Non-Renewable,Energy Response,Western Suburbs Leagues Club (Campbelltown),,Leumeah,2560,NEW SOUTH WALES,Operational,,Distillate,,1.3,,1/1/98,wollongong.ecw,31/7/12,AEMO Generator List,5,5, ,,,11/9/12,,
305,Power Station,Burrendong Power Station,Renewable,,AGL Energy Pty Ltd,,Yarragal,2820,NEW SOUTH WALES,Operational,Hydroelectric (Gravity),Water,,18,1,1/1/09,Euchareena_8732_50cm_2009,31/7/12,AEMO Generator List,8,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\burrendong_hydro.jpg,,11/9/12,259301,
306,Power Station,Copeton Power Station,Renewable,,AGL Energy Pty Ltd,,Copeton,2360,NEW SOUTH WALES,Operational,Hydroelectric (Gravity),Water,,20,1,1/1/09,Bingara_9038_50cm_2009,31/7/12,AEMO Generator List,8,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\copetondam_hydro.jpg,,11/9/12,259304,
307,Power Station,Wilga Park Power Station,Non-Renewable,,Santos,,Bohena Creek,2390,NEW SOUTH WALES,Operational,,Natural Gas,Coal Seam Gas,16,11,1/1/10,Narrabri_8837_50cm_2010,31/7/12,AEMO Generator List,8,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\wilgapark_a_pwr_stn.jpg,,11/9/12,,
308,Power Station,Guthega Power Station,Renewable,,Snowy Hydro Ltd,,Kosciuszko National Park,2627,NEW SOUTH WALES,Operational,Hydroelectric (Gravity),Water,,60,2,1/1/99,kosciusko.ecw,31/7/12,AEMO Generator List,10,5, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\guthega_hydro.jpg,,11/9/12,259384,
309,Power Station,Lake Keepit Power Station,Renewable,,Country Energy,,Keepit,2340,NEW SOUTH WALES,Operational,Hydroelectric (Gravity),Water,,6.5,1,21/2/09,sp5_386412_210209,31/7/12,AEMO Generator List,9,4, ,NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\keepit_hydro.jpg,,11/9/12,,
310,Power Station,Broken Hill GT Power Station,Non-Renewable,,Essential Energy,,Broken Hill,2880,NEW SOUTH WALES,Operational,Open Cycle Gas Turbine,Natural Gas,,50,2,4/1/09,sp5_369414_040109,31/7/12,AEMO Generator List,9,4, ,,,11/9/12,,
311,Power Station,Eraring Power Station,Non-Renewable,,Origin Energy,,Eraring,2264,NEW SOUTH WALES,Operational,Steam Subcritical,Coal,Black Coal,2820,4,1/1/98,lake_macq.ecw,31/7/12,AEMO Generator List,5,5,"1 Stack, H 200m, concrete. Each gen con to pair of stepup trans",NAS\eg\built_env\infrastructure\Energy\Electricity\Power Stations\Photos\eraring_pwr_stn.jpg,,11/9/12,259156,
312,Power Station,Collgar Wind Farm,Renewable,,UBS IIT/ REST,,Merredin,,WESTERN AUSTRALIA,Operational,Wind Turbine,Wind,,206,111,1/6/10,Bruce_Rock_2534_Jun_Aug_2010_Mosaic.ecw,1/1/12,Collgar Wind Farm website,10,5,generating units 111x1.85; Stage 2  may build additional 16 turbines,,,18/9/12,,
313,Power Station,Maryvale Mill Power Station,Renewable,Australian Paper,Australian Paper,Morwell-Maryvale Road,Maryvale,3840,VICTORIA,Operational,,Biomass,Black Liquor,54.5,,9/2/07,latrobe_2007feb09_air_vis_15cm_mga55.ecw,1/1/10,Australian Paper Sustainability Report 2010,1,4,"Point placed at centre of mill, not sure where power station is on the site.  Figure for generation MW may be wrong, could not confirm from company owner",,,11/9/12,,
314,Power Station,Grasmere Wind Farm (Albany stage II),Renewable,Verve Energy,Verve Energy,,,,WESTERN AUSTRALIA,Operational,Wind Turbine,Wind,,13.8,6,1/4/10,Albany_2427_Apr_Jun_2010_Mosaic.ecw,1/1/12,Grasmere Wind Farm website,5,5,Second stage of Albany Wind Farm,,,17/9/12,,
315,Power Station,Tully Sugar Mill Power Station,Renewable,Tully Sugar Ltd,COFCO,Bruce Highway ,Tully,4854,QUEENSLAND,Operational,Steam Subcritical,Biomass,Bagasse,21.4,,1/1/04,Tully_8026_60cm_2004.ecw,1/1/12,Tully Sugar Website,3,4,Point placed in middle of Tully Sugar Mill.  Exact location of power station within the mill site is unknown.  Generation MW could not be confirmed from Tully Sugar website,,,11/9/12,,
316,Power Station,Proserpine Sugar Mill Power Station,Renewable,Sucrogen,Sucrogen,,Proserpine,4800,QUEENSLAND,Operational,,Biomass,Bagasse,17,,1/1/04,Proserpine_8657_60cm_2004.ecw,31/7/12,AEMO Generator List,3,4,"Point placed in middle of mill, exact location of power station within the mill site unknown.  Generation capacity figure not confirmed",,,13/9/12,,
317,Power Station,40 Mount St Power Station,Non-Renewable,<Null>,Cogent Energy,40 Mount Street,North Sydney,2060,NEW SOUTH WALES,Operational,Spark Ignition Reciprocating Engine,Natural Gas,,0.8,1,12/8/07,Sydney_apec2_18cm_12aug2007.ecw,31/7/12,AEMO Generator List,1,5,,,,11/9/12,,
318,Power Station,133 Castlereagh St Power Station,Non-Renewable,,Cogent Energy,133 Castlereagh Street,Sydney,2000,NEW SOUTH WALES,Operational,Spark Ignition Reciprocating Engine,Natural Gas,,0.8,1,12/8/07,Sydney_apec2_18cm_12aug2007.ecw,31/7/12,AEMO Generator List,1,5,,,,11/9/12,,
319,Power Station,101 Miller St Power Station,Non-Renewable,,Cogent Energy,101 Miller Street,North Sydney,2060,NEW SOUTH WALES,Operational,Spark Ignition Reciprocating Engine,Natural Gas,,2.4,2,12/8/07,Sydney_apec2_18cm_12aug2007.ecw,31/7/12,AEMO Generator List,1,5,,,,11/9/12,,
320,Power Station,Blackmores Power Station,Non-Renewable,,Cogent Energy,Jubilee Avenue,Warriewood,2102,NEW SOUTH WALES,Operational,Spark Ignition Reciprocating Engine,Natural Gas,,0.8,2,12/8/07,Sydney_apec2_18cm_12aug2007.ecw,31/7/12,AEMO Generator List,1,4,"Point on facility, not sure of exact location of the generators",,,11/9/12,,
321,Power Station,Nine Network Willoughby Power Station,Non-Renewable,Nine Network,Nine Network,24 Artarmon Road,Willoughby,2068,NEW SOUTH WALES,Operational,Compression Reciprocating Engine,Distillate,,3.2,,12/8/07,Sydney_apec2_18cm_12aug2007.ecw,31/7/12,AEMO Generator List,1,4,"Point is on the Network building, don't know exact location of generator with facility",,,11/9/12,,
322,Power Station,Revesby Workers Club Power Station,Non-Renewable,Revesby Workers Club,Revesby Workers Club,2B Brett Street,Revesby,2212,NEW SOUTH WALES,Operational,Compression Reciprocating Engine,Distillate,,2.5,1,12/8/07,Sydney_apec2_18cm_12aug2007.ecw,31/7/12,AEMO Generator List,1,4,"Point on facility, don't know exact location of generator",,,11/9/12,,
323,Power Station,St George Leagues Club Power Station,Non-Renewable,St George Leagues Club,St George Leagues Club,124 Princes Highway,Kogarah,2217,NEW SOUTH WALES,Operational,Compression Reciprocating Engine,Distillate,,1.5,1,12/8/07,Sydney_apec2_18cm_12aug2007.ecw,31/7/12,AEMO Generator List,1,4,"Point on facility, don't know exact location of generator",,,11/9/12,,
324,Power Station,UNSW Power Station,Non-Renewable,,Cogent Energy,High Street,Kensington,2052,NEW SOUTH WALES,Operational,Spark Ignition Reciprocating Engine,Natural Gas,,0.8,1,12/8/07,Sydney_apec2_18cm_12aug2007.ecw,31/7/12,AEMO Generator List,1,4,"Point on Lowy Cancer Research Centre building, don't know exact location of generator on building site",,,11/9/12,,
325,Power Station,Norseman Mine Power Station,Non-Renewable,,,,Norseman,,WESTERN AUSTRALIA,Operational,,Distillate,,9,,1/2/09,Norseman_3233_Feb_2009_Mosaic.ecw,1/1/08,Contact Power Website,,3,Power station location needs to be confirmed with better imagery,,,19/9/12,,
326,Power Station,Darlot Gold Mine Power Station,Non-Renewable,,Barrick Gold,,,,WESTERN AUSTRALIA,Operational,,Natural Gas,Liquified Natural Gas,11.7,,1/9/10,Darlot_3142_Sep_2010_Mosaic.ecw,1/1/11,Energy Developments Website,,5,,,,19/9/12,,
327,Power Station,Windimurra Vanadium Mine Power Station,Non-Renewable,,Atlantic Ltd,,,,WESTERN AUSTRALIA,Operational,,Natural Gas,,23.7,7,1/1/10,Windimurra_Vanadium_Jan_2010_Mosaic.ecw,1/10/11,WA Dept Commerce Website,,5,,,,19/9/12,,
328,Power Station,Rottnest Island Wind Turbine,Renewable,,Verve Energy,,Rottnest Island,,WESTERN AUSTRALIA,Operational,Wind Turbine,Wind,,0.6,1,1/5/10,Rottnest_Island_May_2010_Moasic.ecw,1/1/10,Verve Energy,,5,There is also a backup diesel generator but couldn't find it,,,19/9/12,,
329,Power Station,Cloudbreak Power Station,Non-Renewable,,Contract Power,,Mulga Downs,6751,WESTERN AUSTRALIA,Operational,,Distillate,,36,18,1/8/08,Mount_Marsh_2753_Aug_2008_Mosaic,1/1/08,Contract Power Website,10,5,,,,19/9/12,443190,
330,Power Station,Port Hedland (HBI) Power Station,Non-Renewable,,Alinta Energy,,Boodarie,,WESTERN AUSTRALIA,Operational,,Natural Gas,,84,2,1/11/09,Port_Hedland_Townsite_and_Environs_Nov_2009_Mosaic,20/9/12,Alinta Energy Website,,5,,,,20/9/12,,
331,Power Station,Noranda Power Station,Renewable,,LMS Energy Generation Pty Ltd,Alexander Drive,Noranda,,WESTERN AUSTRALIA,Operational,,Biogas,Landfill Methane,1.1,1,1/1/04,Metro_North_West_2005_Mosaic (Job_2266_Perth),30/6/10,WA Economic Regulation Authority website,1,5,,,,18/9/12,,
332,Power Station,Red Hill Landfill Power Station,Renewable,,Landfill Gas and Power Pty Ltd,Toodyay Road,Red Hill,,WESTERN AUSTRALIA,Operational,,Biogas,Landfill Methane,3.65,4,1/1/04,Metro_North_West_2005_Mosaic (Job_2266_Perth),18/9/12,Landfill Gas and Power Website,1,5,,,,18/9/12,,
333,Power Station,Shenton Park WMRC Project Power Station,Renewable,,AnaeCo Ltd,Lemnos Street,Shenton Park,,WESTERN AUSTRALIA,Under Construction,,Biogas,Municipal & Industrial Solid Waste,1,,1/1/04,Metro_North_West_2005_Mosaic (Job_2266_Perth),18/9/12,AnaeCo Website,1,5,,,,18/9/12,,
334,Power Station,Kalamunda Power Station,Non-Renewable,,Landfill Gas and Power Pty Ltd,Dawson Avenue,Kalamunda,,WESTERN AUSTRALIA,Operational,,Distillate,,1.3,1,1/1/04,Metro_North_West_2005_Mosaic (Job_2266_Perth),18/9/12,Landfill Gas and Power Website,1,5,Landfill gas generators were decomissioned July 2010. Site now contains a standby diesel generator,,,18/9/12,,
335,Power Station,Canning Vale Power Station,Renewable,,Landfill Gas and Power Pty Ltd,Bannister Road,Canning Vale,,WESTERN AUSTRALIA,Operational,,Biogas,Landfill Methane,4,4,1/1/04,Metro_North_West_2005_Mosaic (Job_2266_Perth),18/9/12,Landfill Gas and Power Website,1,5,,,,18/9/12,,
336,Power Station,Gosnells (Kelvin Road) Power Station,Renewable,,AGL Energy Pty Ltd,Kelvin Road,Gosnells,,WESTERN AUSTRALIA,Operational,,Biogas,Landfill Methane,1.1,1,1/1/04,Metro_North_West_2005_Mosaic (Job_2266_Perth),11/9/09,AGL Website,1,5,,,,18/9/12,,
337,Power Station,KRC Cogeneration Plant Power Station,Non-Renewable,,AGL,Lytton Road,Hemmant,4174,QUEENSLAND,Operational,Steam Subcritical,Natural Gas,,4.2,,1/1/09,Brisbane_Mosaic_15cm_MGA56_2009.ecw,31/7/12,AEMO Generator List,1,3,"Point on facility, don't know exact location of generator",,,14/9/12,,
338,Power Station,321 Exhibition Street Power Station,Non-Renewable,,Cogent Energy,321 Exhibition Street,Melbourne,3000,VICTORIA,Operational,Spark Ignition Reciprocating Engine,Natural Gas,,1.2,1,1/1/09,melbourne_2009jan03_air_vis_35cm_mga55,31/7/12,AEMO Generator List,1,5,,,,11/9/12,,
339,Power Station,200 Victoria Street Power Station,Non-Renewable,,Cogent Energy,200 Victoria Street,Carleton,3053,VICTORIA,Operational,Compression Reciprocating Engine,Natural Gas,,0.4,1,1/1/09,melbourne_2009jan03_air_vis_35cm_mga55,31/7/12,AEMO Generator List,1,5,<Null>,,,11/9/12,,
340,Power Station,Eildon Small Hydro Power Station,Renewable,,Pacific Hydro Investments Pty Ltd,Back Eildon Road,Eildon,3713,VICTORIA,Operational,Hydroelectric (Gravity),Water,,4.5,1,1/1/07,murrindindi_2007jan26_air_vis_50cm_mga55,31/7/12,AEMO Generator List,1,5,,,,11/9/12,,
341,Power Station,Corio Power Station,Renewable,,EDL LFG Vic Pty Ltd,Bell Road,Corio,3214,VICTORIA,Operational,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,1,1,1/1/09,melbourne_2009jan03_air_vis_35cm_mga55,31/7/12,AEMO Generator List,1,5,,,,11/9/12,,
342,Power Station,South East Water Hallam Plant Power Station,Renewable,South East Water,South East Water,,,,VICTORIA,Operational,Hydroelectric (Gravity),Water,,0.25,1,1/1/06,casey_2006mar03_air_vis_15cm_mga55,31/7/12,AEMO Generator List,1,1,"Location unknown, point placed in middle of Hallam",,,11/9/12,,
